Player_initial_last,tournament id,player id,hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,made_cut,pos,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,player,Unnamed: 2,Unnamed: 3,Unnamed: 4,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
A. Svensson,401353224,9127,288,291,61,48.9,54,3,2,3,4,1,45,1,0,0,65,50.9,57,Adam Svensson,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T45,0.28,-0.02,-0.18,0.26,0.07,0.35
A. Wise,401353224,10577,288,279,72,69.3,72,0,8.6,0,4,1,2,20,20,13,92,97.9,85,Aaron Wise,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,2,1.16,0.05,1.96,0.18,2.19,3.35
B. DeChambeau,401353224,10046,144,153,16,7.9,16,0,0,0,2,0,NA,0,0,0,16,7.9,16,Bryson DeChambeau,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,NA,NA,NA,NA,NA,NA,NA
B. Hagy,401353224,9584,144,155,19,7.7,10,0,0.8,0,2,0,NA,0,0,0,19,8.5,10,Brandon Hagy,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-0.94,-1.58,-1.41,-0.61,-3.6,-4.54
B. Harman,401353224,1225,288,286,62.5,56.1,61,0,7.8,0,4,1,18,5,4,2,67.5,67.9,63,Brian Harman,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T18,0.12,0.66,0.17,0.65,1.48,1.6
B. Hoag,401353224,4780,144,151,18.5,13,17,0,0.2,0,2,0,NA,0,0,0,18.5,13.2,17,Bo Hoag,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-0.93,0.21,-1.4,-0.42,-1.6,-2.54
B. Horschel,401353224,1651,288,275,77,75.5,82,6,16.2,8,4,1,1,30,30,15,113,121.7,105,Billy Horschel,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,1,0.95,1.31,1.25,0.84,3.39,4.35
B. Hossler,401353224,6011,288,289,69.5,58.2,57,0,12.4,0,4,1,32,2,1,0,71.5,71.6,57,Beau Hossler,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T32,1.94,0.43,-1.5,-0.03,-1.09,0.85
B. Snedeker,401353224,1222,288,295,48,37.7,48,0,1,0,4,1,60,0,0,0,48,38.7,48,Brandt Snedeker,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T60,1.12,0.25,-1.1,-0.92,-1.77,-0.65
B. Steele,401353224,3596,288,284,65.5,60.7,63,0,7.6,0,4,1,10,7,6,4,72.5,74.3,67,Brendan Steele,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T10,0.2,-0.22,1.26,0.86,1.9,2.1
B. Wu,401353224,4355673,288,300,51,35,38,3,2.4,3,4,1,69,0,0,0,54,37.4,41,Brandon Wu,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,69,-2.44,0.3,0.12,0.12,0.54,-1.9
C. Champ,401353224,11098,144,149,25,16.7,22,0,6.2,0,2,0,NA,0,0,0,25,22.9,22,Cameron Champ,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-0.27,0,-1.63,0.36,-1.27,-1.54
C. Conners,401353224,9126,288,285,72.5,60.2,65,3,19.4,3,4,1,13,6,5,3,81.5,84.6,71,Corey Conners,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T13,-0.24,-0.47,2.03,0.53,2.09,1.85
C. Davis,401353224,10863,288,294,51,37.2,54,0,0.8,0,4,1,53,0,0,0,51,38,54,Cameron Davis,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T53,0.19,-0.88,0.88,-0.6,-0.59,-0.4
C. Hoffman,401353224,205,144,147,26,20.7,24,0,5.6,0,2,0,NA,0,0,0,26,26.3,24,Charley Hoffman,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-0.2,-0.47,0.14,0,-0.34,-0.54
C. Howell III,401353224,208,288,286,60.5,55.5,61,0,6.2,0,4,1,18,5,4,2,65.5,65.7,63,Charles Howell III,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T18,0.52,-0.36,1.03,0.4,1.08,1.6
C. Kim,401353224,5724,288,299,46,30.9,44,0,0.6,0,4,1,67,0,0,0,46,31.5,44,Chan Kim,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T67,-1.4,-0.98,0.53,0.19,-0.26,-1.65
C. Kirk,401353224,3449,288,294,60,46.3,47,0,12.4,0,4,1,53,0,0,0,60,58.7,47,Chris Kirk,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T53,-0.02,0.45,-1.28,0.45,-0.38,-0.4
C. Luck,401353224,10910,144,151,21,13.1,18,0,0.6,0,2,0,NA,0,0,0,21,13.7,18,Curtis Luck,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-3.48,-0.1,1.35,-0.3,0.94,-2.54
C. Morikawa,401353224,10592,144,148,21,15.4,26,0,1.2,0,2,0,NA,0,0,0,21,16.6,26,Collin Morikawa,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-0.41,-1.99,0.51,0.86,-0.62,-1.04
C. Ortiz,401353224,5532,288,296,48,37.8,44,3,6.4,3,4,1,64,0,0,0,51,44.2,47,Carlos Ortiz,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T64,0.88,-0.44,-0.8,-0.55,-1.78,-0.9
C. Pan,401353224,6017,288,294,53,45.3,53,6,7.6,6,4,1,53,0,0,0,59,52.9,59,C.T. Pan,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T53,-0.36,0.21,0.79,-1.05,-0.04,-0.4
C. Smith,401353224,9131,288,285,68,59.5,64,0,6.2,0,4,1,13,6,5,3,74,70.7,67,Cameron Smith,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T13,0.75,1.38,0.17,-0.49,1.01,1.76
C. Tringale,401353224,4645,288,292,52.5,43.3,53,0,6,0,4,1,48,1,0,0,53.5,49.3,53,Cameron Tringale,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T48,-0.18,0.35,-0.67,0.59,0.28,0.1
C. Villegas,401353224,1264,288,294,41,34.2,54,0,1.2,0,4,1,53,0,0,0,41,35.4,54,Camilo Villegas,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T53,-0.71,0.52,0.01,-0.22,0.31,-0.4
C. Young,401353224,4425906,288,295,54.5,42.6,52,0,6,0,4,1,60,0,0,0,54.5,48.6,52,Cameron Young,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T60,-0.68,0.32,-1.18,0.89,0.03,-0.65
D. Berger,401353224,9025,288,282,70,65,68,0,7.6,0,4,1,5,14,14,9,84,86.6,77,Daniel Berger,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T5,1.65,-0.5,1.34,0.1,0.95,2.6
D. Ghim,401353224,11456,288,295,47,38.6,49,3,7.6,3,4,1,60,0,0,0,50,46.2,52,Doug Ghim,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T60,-0.6,-1.17,0.41,0.71,-0.05,-0.65
D. Lee,401353224,3950,144,147,22.5,19,25,0,0.4,0,2,0,NA,0,0,0,22.5,19.4,25,Danny Lee,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-1.75,-0.65,1.11,0.75,1.21,-0.54
D. Lingmerth,401353224,5574,288,292,54,44.4,52,0,7.4,0,4,1,48,1,0,0,55,51.8,52,David Lingmerth,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T48,0.09,-0.8,1.05,-0.24,0.01,0.1
D. Lipsky,401353224,6701,288,290,57.5,48.5,55,3,11.8,3,4,1,37,2,1,0,62.5,61.3,58,David Lipsky,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T37,0.46,0.27,0.31,-0.43,0.14,0.6
D. McCarthy,401353224,10054,288,282,66,62.6,68,0,12.8,0,4,1,5,14,14,9,80,89.4,77,Denny McCarthy,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T5,1.21,1.76,0.53,-0.71,1.55,2.76
D. Riley,401353224,10058,288,285,64,58.3,64,3,6.8,3,4,1,13,6,5,3,73,70.1,70,Davis Riley,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T13,0.73,0.12,1.28,-0.29,1.12,1.85
D. Willett,401353224,4304,144,152,18.5,10.5,17,0,0.4,0,2,0,NA,0,0,0,18.5,10.9,17,Danny Willett,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-1.14,0.55,-1.71,-0.74,-1.9,-3.04
E. Grillo,401353224,5882,288,289,53.5,47.2,59,0,6.2,0,4,1,32,2,1,0,55.5,54.4,59,Emiliano Grillo,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T32,-0.48,1.04,-1,1.28,1.32,0.85
E. van Rooyen,401353224,9364,144,148,24.5,19.6,24,0,0.6,0,2,0,NA,0,0,0,24.5,20.2,24,Erik van Rooyen,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,NA,NA,NA,NA,NA,NA,NA
F. Molinari,401353224,1483,288,287,61.5,54.6,59,3,12.4,3,4,1,26,3,2,0,67.5,69,62,Francesco Molinari,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T26,0.59,0.7,0.57,-0.51,0.76,1.35
G. Higgo,401353224,11393,288,286,65.5,58.3,59,0,13,0,4,1,18,5,4,2,70.5,75.3,61,Garrick Higgo,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T18,0.81,-0.99,1.68,0.1,0.79,1.6
G. Woodland,401353224,3550,144,149,19,14.9,22,0,0.4,0,2,0,NA,0,0,0,19,15.3,22,Gary Woodland,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-1.19,-0.24,-0.86,0.75,-0.35,-1.54
H. English,401353224,5408,144,154,14.5,4.3,17,0,0.2,0,2,0,NA,0,0,0,14.5,4.5,17,Harris English,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,0.21,-0.03,-1.49,-2.73,-4.25,-4.04
H. Swafford,401353224,5504,144,151,23,13.6,21,0,0,0,2,0,NA,0,0,0,23,13.6,21,Hudson Swafford,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-0.31,-3.01,1.18,-0.39,-2.23,-2.54
J. Dahmen,401353224,6196,288,289,59,49.5,58,0,11,0,4,1,32,2,1,0,61,61.5,58,Joel Dahmen,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T32,0.26,0.36,-0.2,0.42,0.59,0.85
J. Day,401353224,1680,288,288,60,52.2,60,0,6.4,0,4,1,31,2,1,0,62,59.6,60,Jason Day,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,31,1.04,0.81,-0.87,0.13,0.06,1.1
J. Dufner,401353224,110,144,150,21,13,22,0,0,0,2,0,NA,0,0,0,21,13,22,Jason Dufner,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,0.04,-0.34,-1.47,-0.26,-2.08,-2.04
J. Niemann,401353224,11099,288,281,76,68.1,68,0,18.8,0,4,1,3,18,18,11,94,104.9,79,Joaquin Niemann,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T3,0.67,-0.57,1.58,1.18,2.18,2.85
J. Pak,401353224,4691933,144,153,16.5,10,13,0,0.6,0,2,0,NA,0,0,0,16.5,10.6,13,John Pak,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-1.51,-0.47,-0.96,-0.59,-2.02,-3.54
J. Poston,401353224,10505,288,290,60.5,50.7,53,0,13,0,4,1,37,2,1,0,62.5,64.7,53,J.T. Poston,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T37,0.7,-0.42,0.61,-0.3,-0.1,0.6
J. Rahm,401353224,9780,288,284,67.5,61.2,66,3,13.4,3,4,1,10,7,6,4,77.5,80.6,73,Jon Rahm,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T10,1.4,0.48,0.72,-0.51,0.7,2.1
J. Spieth,401353224,5467,288,286,57.5,53.3,63,3,7.2,3,4,1,18,5,4,2,65.5,64.5,68,Jordan Spieth,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T18,1.26,0.64,-0.67,0.37,0.34,1.6
J. Vegas,401353224,1030,288,290,55.5,47.9,55,3,12.4,3,4,1,37,2,1,0,60.5,61.3,58,Jhonattan Vegas,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T37,-0.28,0.11,0.46,0.3,0.88,0.6
K. Bradley,401353224,4513,288,290,56,47.4,56,3,13.2,3,4,1,37,2,1,0,61,61.6,59,Keegan Bradley,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T37,0.85,-0.52,0.07,0.2,-0.25,0.6
K. Hickok,401353224,10363,288,296,40.5,32.3,49,0,1,0,4,1,64,0,0,0,40.5,33.3,49,Kramer Hickok,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T64,-0.94,0.61,-0.61,0.05,0.04,-0.9
K. Kitayama,401353224,10364,144,147,27.5,21.7,26,3,6.2,3,2,0,NA,0,0,0,30.5,27.9,29,Kurt Kitayama,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-0.15,-0.28,-1.01,0.91,-0.39,-0.54
K. Lee,401353224,7083,288,294,60.5,48.2,48,0,6.8,0,4,1,53,0,0,0,60.5,55,48,Kyoung-Hoon Lee,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T53,-1.06,0.1,0.75,-0.19,0.66,-0.4
K. Mitchell,401353224,8906,288,286,66,57.8,60,0,11.8,0,4,1,18,5,4,2,71,73.6,62,Keith Mitchell,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T18,0.65,0.61,-0.19,0.52,0.95,1.6
K. Streelman,401353224,1077,144,149,23.5,16.8,23,0,0,0,2,0,NA,0,0,0,23.5,16.8,23,Kevin Streelman,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-1.94,-0.66,0.76,0.29,0.4,-1.54
L. Donald,401353224,601,144,147,29,22.8,25,0,1.6,0,2,0,NA,0,0,0,29,24.4,25,Luke Donald,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,1.82,-0.36,-0.91,-1.09,-2.36,-0.54
L. Glover,401353224,676,288,295,44.5,36,49,0,7,0,4,1,60,0,0,0,44.5,43,49,Lucas Glover,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T60,0.1,-0.41,-0.64,0.29,-0.76,-0.65
L. Griffin,401353224,5962,288,293,59.5,44.2,51,3,13.6,3,4,1,51,0,0,0,62.5,57.8,54,Lanto Griffin,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T51,-0.02,0.64,0.1,-0.87,-0.13,-0.15
L. Herbert,401353224,10343,288,292,58.5,46.3,53,0,6,0,4,1,48,1,0,0,59.5,52.3,53,Lucas Herbert,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T48,0.67,0.87,-1.14,-0.3,-0.57,0.1
L. List,401353224,1059,288,287,66,57.8,59,3,19,3,4,1,26,3,2,0,72,78.8,62,Luke List,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T26,0.68,0.52,0.31,-0.17,0.67,1.35
M. Fitzpatrick,401353224,9037,144,147,21,17.9,26,0,0,0,2,0,NA,0,0,0,21,17.9,26,Matthew Fitzpatrick,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-3.79,0.94,1.13,1.18,3.25,-0.54
M. Homa,401353224,8973,288,282,77.5,67.9,67,3,13.8,3,4,1,5,14,14,9,94.5,95.7,79,Max Homa,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T5,1.09,0.67,0.73,0.11,1.51,2.6
M. Hughes,401353224,6931,288,290,55.5,47.9,55,0,8,0,4,1,37,2,1,0,57.5,56.9,55,Mackenzie Hughes,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T37,0.34,0.87,0.46,-1.07,0.26,0.6
M. Jones,401353224,1367,144,149,22,17.1,20,0,1.2,0,2,0,NA,0,0,0,22,18.3,20,Matt Jones,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-2.38,-0.87,1.34,0.38,0.84,-1.54
M. Kuchar,401353224,257,288,291,51.5,44.2,55,0,1,0,4,1,45,1,0,0,52.5,45.2,55,Matt Kuchar,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T45,0.86,0.34,-0.35,-0.51,-0.51,0.35
M. Laird,401353224,2571,288,290,52.5,45.6,60,0,1.8,0,4,1,37,2,1,0,54.5,48.4,60,Martin Laird,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T37,-0.44,0.61,0.46,-0.03,1.04,0.6
M. Lee,401353224,4410932,144,149,22.5,16.6,21,0,1.2,0,2,0,NA,0,0,0,22.5,17.8,21,Min Woo Lee,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,NA,NA,NA,NA,NA,NA,NA
M. Leishman,401353224,3351,144,149,22.5,16.5,24,0,0.6,0,2,0,NA,0,0,0,22.5,17.1,24,Marc Leishman,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,0.78,-0.8,-1.39,-0.12,-2.31,-1.54
M. NeSmith,401353224,6954,288,290,53.5,47.3,55,0,6.2,0,4,1,37,2,1,0,55.5,54.5,55,Matthew NeSmith,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T37,0.1,-0.24,0.63,0.11,0.5,0.6
M. Pereira,401353224,9931,288,285,73,59.6,64,3,13.6,3,4,1,13,6,5,3,82,78.2,70,Mito Pereira,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T13,-0.53,0.42,1.12,0.84,2.38,1.85
M. Wolff,401353224,4412121,144,148,23.5,18.1,23,3,1.2,3,2,0,NA,0,0,0,26.5,19.3,26,Matthew Wolff,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,1.05,0.28,-1.91,-0.45,-2.09,-1.04
N. Lashley,401353224,1600,144,149,27.5,19.4,19,0,7,0,2,0,NA,0,0,0,27.5,26.4,19,Nate Lashley,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,0.37,-1.27,-1.77,1.13,-1.91,-1.54
N. Watney,401353224,1042,144,158,10,-1.2,8,0,0,0,2,0,NA,0,0,0,10,-1.2,8,Nick Watney,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-1.04,-1.02,-0.97,-3.01,-5,-6.04
P. Cantlay,401353224,6007,288,281,74,67.3,72,0,12.8,0,4,1,3,18,18,11,92,98.1,83,Patrick Cantlay,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,T3,1.09,0.26,0.79,0.7,1.76,2.85
P. Kizzire,401353224,3980,144,156,11,2.8,10,0,0,0,2,0,NA,0,0,0,11,2.8,10,Patton Kizzire,NA,NA,NA,The Memorial Tournament pres. by Nationwide,"Muirfield Village Golf Club - Dublin, OH",2022-06-05,12,2022,0,CUT,-2.73,-1.06,0.29,-1.54,-2.31,-5.04
